State,Male,Female,Other
Uttar Pradesh,1809,1377,1
Delhi,806,442,0
Maharashtra,111,71,0
Tamil Nadu,6418,4736,0
Andhra Pradesh,654,396,0
Puducherry,208,405,0
Punjab,148,386,0
Chhattisgarh,158,169,1
Kerala,87,69,0
Bihar,161,57,1
Rajasthan,126,74,1
Sikkim,13,6,0
Jammu And Kashmir,145,280,0
Chandigarh,177,476,0
Haryana,237,258,0
Jharkhand,22,6,0
Himachal Pradesh,22,39,0
Assam,9,7,0
Uttarakhand,21,23,0
Madhya Pradesh,104,75,0
West Bengal,36,16,0
The Dadra And Nagar Haveli And Daman And Diu,18,16,0
Telangana,22,39,0
Ladakh,13,19,0
Andaman And Nicobar Islands,6,6,0
Gujarat,16,9,0
Karnataka,21,13,0
Goa,8,19,0
Odisha,15,4,0
Manipur,15,18,0
Arunachal Pradesh,4,7,0
Nagaland,0,5,0
Meghalaya,2,4,0
Tripura,2,3,0
Mizoram,0,2,0
